"","x"
"Q77_1","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - sacxovreblis qiris gadaxda;"
"Q77_2","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - komunaluri gadasaxadebis gadaxda;"
"Q77_3","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - gauTvaliswinebeli xarjebis gaweva;"
"Q77_4","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - xorcis, Tevzis an vegetarianelebisaTvis Sesabamisi sakvebis miReba kviraSi minimum 2-jer;"
"Q77_5","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - dasasveneblad wasvla (weliwadSi minimum erTi kviriT);"
"Q77_6","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - televizoris SeZena;"
"Q77_7","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - macivris SeZena;"
"Q77_8","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - manqanis SeZena;"
"Q77_9","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - mobiluri telefonis SeZena;"
"Q77_10","gTxovT gvipasuxoT, SeuZlia Tu ara Tqvens Sinameurneobas 1 wlis ganmavlobaSi jamSi (erTdroulad) uzrunvelyos - miWirs pasuxis gacema"
"Q78_R1","gTxovT, gvipasuxoT SezRuduli SesaZleblobebis mqone pirebTan dakavSirebul ramodenime kiTxvaze - ojaxisaTvis aris Tu ara problema im faqtis gamJRavneba, rom ojaxSi aris SezRuduli SesaZleblobebis mqone bavSvi?"
"Q78_R2","gTxovT, gvipasuxoT SezRuduli SesaZleblobebis mqone pirebTan dakavSirebul ramodenime kiTxvaze - adamianebs, romelTac hyavT SezRuduli SesaZleblobebis mqone ojaxis wevri, SeeqmnebaT Tu ara problema daojaxebisas?"
"Q78_R3","gTxovT, gvipasuxoT SezRuduli SesaZleblobebis mqone pirebTan dakavSirebul ramodenime kiTxvaze - rom iyos SesaZlebeli mSobeli ecdeba Tu ara daumalos sxvebs, rom mas hyavs SezRuduli  SesaZleblobis mqone Svili?"
"Q78_R4","gTxovT, gvipasuxoT SezRuduli SesaZleblobebis mqone pirebTan dakavSirebul ramodenime kiTxvaze - sazogadoeba Tvlis Tu ara, rom ojaxma, romelsac SeeZina SezRuduli SesaZleblobebis mqone bavSvi, unda datovos/Caabaros igi Sesabamis institutSi/dawesebulebaSi?"
"Q78_R5","gTxovT, gvipasuxoT SezRuduli SesaZleblobebis mqone pirebTan dakavSirebul ramodenime kiTxvaze - TvliT Tu ara, rom xalxi Tqvens garSemo, erideba SezRuduli  SesaZleblobebis mqone bavSvTan urTierTobas?"
"Q79","Tqveni azriT, rogor Seicvala saqarTveloSi fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobisa da iZulebis SemTxvevebi axalgazrdebis mier an/da maT mimarT bolo 10 wlis ganmavlobaSi?"
"Q80_R1","gasuli 12 Tvis manilze, iyaviT Tu ara fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobis an iZulebis msxverpli? - viyavi fizikuri Zaladobis msxverpli"
"Q80_R2","gasuli 12 Tvis manilze, iyaviT Tu ara fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobis an iZulebis msxverpli? - viyavi fsiqologiuri Zaladobis msxverpli"
"Q80_R3","gasuli 12 Tvis manilze, iyaviT Tu ara fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobis an iZulebis msxverpli? - viyavi seqsualuri Zaladobis msxverpli"
"Q80_R4","gasuli 12 Tvis manilze, iyaviT Tu ara fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobis an iZulebis msxverpli? - viyavi ekonomikuri Zaladobis msxverpli"
"Q80_R5","gasuli 12 Tvis manilze, iyaviT Tu ara fizikuri, fsiqologiuri, seqsualuri, ekonomikuri Zaladobis an iZulebis msxverpli? - viyavi iZulebis msxverpli"
"Q81_R1","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - muqara aris Zaladobis forma"
"Q81_R2","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - dacinva ar aris Zaladobis gamovlineba"
"Q81_R3","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - gineba aris Zaladobis gamovlineba"
"Q81_R4","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - adamianisTvis iarliyis miwebeba ar aris Zaladobis gamovlineba"
"Q81_R5","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - Tanxmobis gareSe Sexeba/mofereba ar aris Zaladoba"
"Q81_R6","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - cema, Tundac raime sagnis gareSe aris Zaladobis forma"
"Q81_R7","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - fizikuri dasja aRzrdis ganuyofeli nawilia"
"Q81_R8","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - SezRuduli SesaZleblobebis mqone adamianebi unda cxovrobdnen sazogadoebis sxva wevrebisgan gancalkevebiT"
"Q81_R9","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - ojaxSi Zaladobis SemTxvevebSi sxva aravin unda Caerios"
"Q81_R10","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - xalxi Cems garSemo erideba SezRuduli SesaZleblobebis mqone adamianTan urTierTobas"
"Q81_R11","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - Tanatolebs Soris agdebuli damokidebuleba/zedmeti saxelis darqmeva/damcireba misaRebia"
"Q81_R12","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - imisaTvis rom iyo warmatebuli, saWiroa kargad iswavlo"
"Q81_R13","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - imisaTvis rom iyo popularuli saWiroa finansurad iyo Zlieri"
"Q81_R14","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - axalgazrda biWisTvis danis tareba misaRebia"
"Q82","xarT Tu ara dakavebuli raime sportuli/fizikuri aqtivobiT regularulad?"
"Q83","ra droiT xarT dakavebuli aRniSnuli sportuli/fizikuri aqtivobiT saSualod kviraSi?"
"Q84","ra sixSiriT xarT dakavebuli aRniSnuli sportuli/fizikuri aqtivobiT?"
"Q85_1","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - jansaRi cxovrebis wesi, fizikuri gajansaReba;"
"Q85_2","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - imisTvis, rom kargad gamoviyurebode (mag. wonis koreqcia);"
"Q85_3","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - imisTvis rom Tanamedrove adamiani gavxde;"
"Q85_4","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - samsaxureobrivi saWiroebebisTvis (normativebis Casabareblad);"
"Q85_5","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - imisTvis, rom gavxde profesionali sportsmeni;"
"Q85_6","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - samedicino miznebiT, reabilitacia, eqimis daniSnulebiT;"
"Q85_7","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - sxva"
"Q85_O","ra mizniT xarT CarTuli aRniSnul sportul/fizikur aqtivobaSi? - sxva (teqsti)"
"Q86","gaqvT Tu ara survili CaerToT sportis/fizikuri aqtivobis romelime saxeobaSi, romliTac amJamad ar xarT dakavebuli?"
"Q87_1","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - fexburTi, mini fexburTi, futzali;"
"Q87_2","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - CogburTi;"
"Q87_3","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - magidis CogburTi;"
"Q87_4","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - kalaTburTi;"
"Q87_5","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - xelburTi;"
"Q87_6","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - frenburTi;"
"Q87_7","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - wyalburTi;"
"Q87_8","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - beisboli;"
"Q87_9","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - ragbi;"
"Q87_10","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - Widaoba (berZnul-romauli, Tavisufali);"
"Q87_11","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - qarTuli Widaoba;"
"Q87_12","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - Ziudo;"
"Q87_13","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - karate;"
"Q87_14","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - sambo;"
"Q87_15","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - taekvondo;"
"Q87_16","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - sxva aRmosavluri sabrZolo xelovnebebi;"
"Q87_17","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - krivi;"
"Q87_18","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - mklavWidi;"
"Q87_19","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - curva, wyalSi xtoma, sinqronuli curva;"
"Q87_20","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - tanvarjiSi (sportuli, mxatvruli, akrobatika, batutze xtoma);"
"Q87_21","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - mZleosnoba (sportuli siaruli, rbenebi, xtomebi, tyorcnebi);"
"Q87_22","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - saTxilamuro sporti (rbenebi, tramplinidan xtoma, samTo saTxilamuro);"
"Q87_23","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - alpinizmi, mTamsvleloba, mekldeuroba, samTo turizmi;"
"Q87_24","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - figuruli sriali;"
"Q87_25","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - avtosporti;"
"Q87_26","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - velosporti;"
"Q87_27","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - badmintoni;"
"Q87_28","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - mSvildosnoba;"
"Q87_29","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - cekvebi;"
"Q87_30","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - farikaoba;"
"Q87_31","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - cxenosnoba;"
"Q87_32","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - Zalosnoba;"
"Q87_33","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - Wadraki;"
"Q87_34","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - laSqroba bunebaSi;"
"Q87_35","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - sirbili;"
"Q87_36","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - trenaJorebi;"
"Q87_37","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - sxva"
"Q87_O","daasaxeleT sportis/fizikuri aqtivobis es saxeoba? - sxva (teqsti)"
"Q88_1","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - finansuri barierebi;"
"Q88_2","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - drois nakleboba;"
"Q88_3","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - infrastruqturis siSore;"
"Q88_4","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - infrastruqturis gaumarTaoba;"
"Q88_5","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - infrastruqturis ararseboba;"
"Q88_6","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - infrastruqtura ar aris adaptirebuli (SSm axalgazrdebisTvis da sxva);"
"Q88_7","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - kvalificiuri mwvrTnelebisa da maswavleblebis ararseboba;"
"Q88_8","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - sxva"
"Q88_9","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - miWirs pasuxis gacema"
"Q88_O","daasaxeleT mizezi, ratom ar xarT CarTuli aRniSnul sportSi/fizikur aqtivobaSi? - sxva (teqsti)"
"Q89","gsmeniaT Tu ara iunisefis (UNICEF) Sesaxeb?"
"Q90_1","ra gsmeniaT iunisefis (UNICEF) Sesaxeb? (pirveli dasaxeleba)"
"Q90_2","ra gsmeniaT iunisefis (UNICEF) Sesaxeb? (meore dasaxeleba)"
"Q91_1","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - televizia;"
"Q91_2","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - radio;"
"Q91_3","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - Jurnal-gazeTebi;"
"Q91_4","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - bukletebi;"
"Q91_5","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - iunisefis veb-gverdi;"
"Q91_6","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - iunisefis feisbuqis gverdi an sxva socialuri media;"
"Q91_7","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - sxva veb-gverdi (interneti);"
"Q91_8","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - nacnobebi/megobrebi/TanamSromlebi;"
"Q91_9","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - sareklamo abrebi (bilbordebi);"
"Q91_10","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - iunisefis proeqtis beneficiari;"
"Q91_11","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - ar maxsovs/miWirs pasuxis gacema"
"Q91_12","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - sxva"
"Q91_O","gTxovT mipasuxoT ra wyaroebidan gaqvT informacia iunisefis Sesaxeb/saqarTveloSi misi saqmianobis Sesaxeb? - sxva (teqsti)"
"Q92","icnobT Tu ara iunisefis feisbuqis veb-gverds?"
"Q93","gamogixatavT Tu ara Tqveni mosazreba am veb-gverdis saSualebiT?"
"Q94_1","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - informacia bavSvebis mdgomareobis Sesaxeb saqarTveloSi;"
"Q94_2","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - informacia iunisefis saqmianobis Sesaxeb;"
"Q94_3","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - SekiTxvebi iunisefs da Sesabamisi pasuxebi;"
"Q94_4","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - iunisefis saqmianobis an bavSvTa mdgomareobis amsaxveli videogalerea;"
"Q94_5","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - iunisefis saqmianobis an bavSvTa mdgomareobis amsaxveli fotogalerea;"
"Q94_6","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - sxva tipis informacia an aqtivoba"
"Q94_O","ra tipis informaciis miRebas an aqtivobebs isurvebdiT am veb-gverdis saSualebiT? - sxva tipis informacia an aqtivoba (teqsti)"
"Q95_1","cnobili arapolitikosi adamiani saqarTveloSi, romelsac yvelaze metad endobiT (pirveli dasaxeleba)"
"Q95_2","cnobili arapolitikosi adamiani saqarTveloSi, romelsac yvelaze metad endobiT (meore dasaxeleba)"
"Q96_1","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - xelmisawvdomi da srulfasovani sakvebi;"
"Q96_2","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - im pirTa mxardaWera, visac muSaoba ar SeuZlia;"
"Q96_3","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - sufTa wylis da kanalizaciis xelmisawvdomoba;"
"Q96_4","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - diskriminaciisa da devnisagan Tavisufleba;"
"Q96_5","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - jandacvis gaumjobeseba;"
"Q96_6","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - klimatis cvlilebasTan dakavSirebiT ganxorcielebuli saqmianoba;"
"Q96_7","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - saxlebis efeqtiani energo-momarageba;"
"Q96_8","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - politikuri Tavisuflebebi;"
"Q96_9","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - telefonis da internetis xelmisawvdomoba;"
"Q96_10","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - Tanasworoba qalebsa da mamakacebs Soris;"
"Q96_11","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - samuSao adgilebis gazrda;"
"Q96_12","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - patiosani da pasuxismgeblobis mqone mTavroba;"
"Q96_13","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - satransporto sistemisa da gzebis mdgomareobis gaumjobeseba;"
"Q96_14","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - tyeebis, mdinareebisa da okeaneebis dacva;"
"Q96_15","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - danaSaulisa da Zaladobisagan dacva;"
"Q96_16","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - xarisxiani ganaTleba;"
"Q96_17","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - TqvenTvis mniSvnelovani sxva sakiTxi"
"Q96_O","gTxovT SemoxazoT 6 sakiTxi, romlebic Tqven yvelaze mniSvnelovnad migaCniaT msoflioSi mdgomareobis gaumjobesebisaTvis. - TqvenTvis mniSvnelovani sxva sakiTxi (teqsti)"
"Q97","ramdenad sandoa respondentis mier mowodebuli informacia?"
